Date,Equity
19750918,122351.902240188
19750919,124914.113403188
19750922,123693.114463188
19750923,124055.774722188
19750924,124980.414869388
19750925,124357.647578388
19750926,124814.968970388
19750929,123134.617002388
19750930,120929.726697388
19751001,119588.921747388
19751002,121062.322564388
19751003,124553.829167188
19751006,125953.89503018801
19751007,125484.419126188
19751008,127076.608109188
19751009,127316.49479248801
19751010,126893.021284293
19751013,129155.04831229302
19751014,129101.25037229301
19751015,129553.54899729301
19751016,129637.30870629301
19751017,129174.12908529301
19751020,129544.78442969301
19751021,131627.25568329298
19751022,131455.91348929302
19751023,132123.924694293
19751024,130038.08422529302
